Material Name,Category,Yr,Revenue,Qty,Invoices
ACOBMIN INJ. IV/IM CP (AFG) 1X10'S,Export,2024.0,21595.0,500.0,4
ACOBMIN INJ. IV/IM CP (AFG) 1X10'S,Export,2025.0,0.0,630.0,7
ACOBMIN TAB. CP 30'S (AFG) 1X30'S,Export,2024.0,0.0,0.0,3
ACOBMIN TAB. CP 30'S (AFG) 1X30'S,Export,2025.0,0.0,0.0,5
ACTIFLOR SAC. 250MG CP (AFG) 1X10'S,Export,2024.0,15188.75,2608.0,39
ACTIFLOR SAC. 250MG CP (AFG) 1X10'S,Export,2025.0,25584.26,1836.0,52
ACTIFLOR SAC. 250MG CP (MMR) 1X10'S,Export,2025.0,755.2,472.0,1
ACTIFLOR SAC. 250MG CP 1X10'S,Pharma,2024.0,53208756.03,148342.0,1046
ACTIFLOR SAC. 250MG CP 1X10'S,Pharma,2025.0,51170057.31,118712.0,725
ACTNISE CRM. 50GM CP 1X1'S,Herbal,2024.0,24049801.279999997,87199.0,759
ACTNISE CRM. 50GM CP 1X1'S,Herbal,2025.0,42724182.809999995,145130.0,1059
AD FOLIC OD TAB. 600MCG CP (AFG) 3X10’S,Export,2024.0,0.0,0.0,3
AD FOLIC OD TAB. 600MCG CP 3X10'S,Nutraceutical,2024.0,121846064.75,299762.0,1590
AD FOLIC OD TAB. 600MCG CP 3X10'S,Nutraceutical,2025.0,162801033.22,359772.0,1761
AD FOLIC TAB. CP  (UZB) 3X10’S,Export,2024.0,0.0,0.0,1
AD FOLIC TAB. CP  (UZB) 3X10’S,Export,2025.0,0.0,2036.0,12
AD FOLIC TAB. CP 30'S (AFG) 3X10’S,Export,2024.0,1318.08,131.0,10
AD FOLIC TAB. CP 30'S (AFG) 3X10’S,Export,2025.0,0.0,0.0,2
AD FOLIC TAB. CP 3X10'S,Nutraceutical,2024.0,77529737.48,271463.0,1375
AD FOLIC TAB. CP 3X10'S,Nutraceutical,2025.0,103558553.78,315236.0,1598
AD-D CHEWABLE TAB. 10000IU CP (AFG) 8'S,Export,2024.0,0.0,0.0,3
AD-D CHEWABLE TAB. 10000IU CP (AFG) 8'S,Export,2025.0,0.0,0.0,2
AD-D CHEWABLE TAB. 10000IU CP 1X8'S,Nutraceutical,2024.0,2389253.36,15881.0,314
AD-D CHEWABLE TAB. 10000IU CP 1X8'S,Nutraceutical,2025.0,2867183.37,18684.0,370
AD-D CHEWABLE TAB. 2000IU CP (AFG) 1X30’,Export,2024.0,0.0,0.0,3
AD-D CHEWABLE TAB. 2000IU CP (AFG) 1X30’,Export,2025.0,0.0,0.0,1
AD-D CHEWABLE TAB. 2000IU CP 1X30'S,Nutraceutical,2024.0,4517883.76,13856.0,292
AD-D CHEWABLE TAB. 2000IU CP 1X30'S,Nutraceutical,2025.0,4996100.16,14628.0,306
AGOVIZ TAB. 25MG CP 2X7'S,Pharma,2024.0,39222500.58,67128.0,694
AGOVIZ TAB. 25MG CP 2X7'S,Pharma,2025.0,39702567.01,62972.0,648
AIRCARE DPI DEVICE CP 1X1'S,Medical Device,2024.0,4343439.02,11443.0,156
AIRCARE PLUS DPI DEVICE CP (AFG) 1'S,Export,2025.0,0.0,0.0,1
AIRCARE PLUS DPI DEVICE CP 1X1'S,Medical Device,2024.0,5619561.94,17937.0,274
AIRCARE PLUS DPI DEVICE CP 1X1'S,Medical Device,2025.0,11085411.25,33782.0,514
AIREEZ SAC. 4MG CP (AFG) 1X14'S,Export,2024.0,6697.8,3083.0,14
AIREEZ SAC. 4MG CP (CMB),Export,2025.0,0.0,318.0,3
AIREEZ SAC. 4MG CP (VNM),Export,2024.0,263.52000000000004,244.0,7
AIREEZ SAC. 4MG CP (VNM),Export,2025.0,0.0,0.0,3
AIREEZ SAC. 4MG CP 1X14'S,Pharma,2024.0,15200002.48,61350.0,675
AIREEZ SAC. 4MG CP 1X14'S,Pharma,2025.0,17201670.65,61625.0,671
AIREEZ TAB. 10MG CP (AFG) 3X10'S,Export,2024.0,0.0,0.0,3
AIREEZ TAB. 10MG CP (IQ) 30'S,Export,2024.0,0.0,0.0,8
AIREEZ TAB. 10MG CP (IQ) 30'S,Export,2025.0,0.0,0.0,4
AIREEZ TAB. 10MG CP (KEN),Export,2025.0,0.0,328.0,3
AIREEZ TAB. 10MG CP (MDV) 30'S,Export,2025.0,712.5,825.0,2
AIREEZ TAB. 10MG CP 3X10'S,Pharma,2024.0,77864157.51,244262.0,1696
AIREEZ TAB. 10MG CP 3X10'S,Pharma,2025.0,135799375.65,252163.0,1625
AIREEZ TAB. 5MG CP (KEN),Export,2025.0,0.0,504.0,3
AIREEZ TAB. 5MG CP 3X10'S,Pharma,2024.0,4515231.51,16038.0,322
AIREEZ TAB. 5MG CP 3X10'S,Pharma,2025.0,7956561.8,19421.0,367
AIREEZ TAB.10MG CP PUNJAB GREEN 3X10'S,Pharma,2025.0,213267.08000000002,5233.0,40
ANEX TAB. 550MG CP (GTM) 1X2'S,Export,2024.0,0.0,0.0,1
ANEX TAB. 550MG CP (GTM) 3X10'S,Export,2024.0,4605.36,1857.0,8
ANEX-M TAB. 85/500MG CP (AFG) 1X2'S,Export,2024.0,0.0,0.0,1
ANEX-M TAB. 85/500MG CP (AFG) 1X2'S,Export,2025.0,29439.629999999997,681.0,4
ANEX-M TAB. 85/500MG CP 1X2'S,Pharma,2024.0,7288693.5,32528.0,299
ANEX-M TAB. 85/500MG CP 1X2'S,Pharma,2025.0,10441617.809999999,36835.0,404
ANPLAG TAB. 60MG CP 2X7'S,Pharma,2024.0,11832197.69,24384.0,278
ANPLAG TAB. 60MG CP 2X7'S,Pharma,2025.0,16685367.889999999,28773.0,332
ANPLAG TAB. 90MG 100X10'S RIC INST.GREEN,Pharma,2024.0,0.0,400.0,4
ANPLAG TAB. 90MG CP (GTM) 2'S,Export,2024.0,0.0,0.0,3
ANPLAG TAB. 90MG CP (GTM) 30'S,Export,2024.0,0.0,0.0,1
ANPLAG TAB. 90MG CP (IQ) 30'S,Export,2024.0,0.0,0.0,4
ANPLAG TAB. 90MG CP (SLK) 3X10'S,Export,2025.0,14543.36,1472.0,3
ANPLAG TAB. 90MG CP 2X10'S,Pharma,2024.0,26402491.72,201093.0,1423
ANPLAG TAB. 90MG CP 2X10'S,Pharma,2025.0,33348935.98,271778.0,1761
APREP CAP. 125MG CP 1'S,Pharma,2024.0,0.0,0.0,1
APREP CAP. 80MG CP 1X2'S,Pharma,2024.0,117600.0,800.0,3
APREP CAP. 80MG/125MG CP COMBO PACK,Pharma,2025.0,0.0,0.0,1
ARBI TAB. 150MG CP (CMB),Export,2025.0,0.0,0.0,1
ARBI TAB. 150MG CP (GTM) 1X2'S,Export,2024.0,0.0,0.0,3
ARBI TAB. 150MG CP (GTM) 1X2'S,Export,2025.0,0.0,0.0,2
ARBI TAB. 150MG CP (GTM) 3X10'S,Export,2024.0,1997.16,979.0,3
ARBI TAB. 150MG CP (GTM) 3X10'S,Export,2025.0,0.0,0.0,1
ARBI TAB. 150MG CP (IQ) 30'S,Export,2024.0,0.0,0.0,1
ARBI TAB. 150MG CP (SLK) 1X10'S,Export,2024.0,0.0,0.0,7
ARBI TAB. 150MG CP (SLK) 1X10'S,Export,2025.0,75.60000000000001,781.0,11
ARBI TAB. 150MG CP 1X10'S,Pharma,2024.0,26636865.150000002,107674.0,1033
ARBI TAB. 150MG CP 1X10'S,Pharma,2025.0,27571158.200000003,100998.0,1061
ARBI TAB. 150MG CP SPC (SLK) 1X10'S,Export,2024.0,0.0,0.0,8
ARBI TAB. 150MG CP SPC (SLK) 1X10'S,Export,2025.0,0.0,0.0,4
ARBI TAB. 150MG PS (SLK) 4'S,Export,2024.0,0.0,696.0,4
ARBI TAB. 150MG PS (SLK) 4'S,Export,2025.0,0.0,375.0,3
ARBI TAB. 300MG CP (CMB),Export,2025.0,0.0,0.0,1
ARBI TAB. 300MG CP (GTM) 1X2'S,Export,2024.0,0.0,0.0,3
ARBI TAB. 300MG CP (GTM) 1X2'S,Export,2025.0,0.0,0.0,4
ARBI TAB. 300MG CP (GTM) 3X10'S,Export,2024.0,1936.44,867.0,4
ARBI TAB. 300MG CP (GTM) 3X10'S,Export,2025.0,0.0,0.0,2
ARBI TAB. 300MG CP (IQ) 30'S,Export,2024.0,0.0,0.0,1
ARBI TAB. 300MG CP (SLK),Export,2024.0,735.69,537.0,8
ARBI TAB. 300MG CP (SLK),Export,2025.0,0.0,0.0,8
ARBI TAB. 300MG CP 1X10'S,Pharma,2024.0,16210289.42,45866.0,676
ARBI TAB. 300MG CP 1X10'S,Pharma,2025.0,16710256.36,44726.0,743
ARBI TAB. 300MG PS (SLK) 4'S,Export,2024.0,0.0,811.0,2
ARBI TAB. 300MG PS (SLK) 4'S,Export,2025.0,0.0,1285.0,8
ARBI-A TAB. 100/10MG CP 1X10'S,Pharma,2024.0,4502763.78,17904.0,231
ARBI-A TAB. 100/10MG CP 1X10'S,Pharma,2025.0,3701752.52,14171.0,194
ARBI-A TAB. 100/5MG CP 1X10'S,Pharma,2024.0,6101318.13,27724.0,355
ARBI-A TAB. 100/5MG CP 1X10'S,Pharma,2025.0,8850505.96,39063.0,467
ARBI-D TAB. 150/12.5MG CP (IQ) 30'S,Export,2024.0,1225.98,973.0,3
ARBI-D TAB. 150/12.5MG CP 1X10'S,Pharma,2024.0,41668611.71,137781.0,1104
ARBI-D TAB. 150/12.5MG CP 1X10'S,Pharma,2025.0,48136090.46,147586.0,1249
ARBI-D TAB. 150MG/12.5MG CP (GTM) 1X2'S,Export,2024.0,0.0,0.0,4
ARBI-D TAB. 150MG/12.5MG CP (GTM) 1X2'S,Export,2025.0,0.0,0.0,5
ARBI-D TAB. 150MG/12.5MG CP (GTM) 3X10'S,Export,2024.0,0.0,0.0,5
ARBI-D TAB. 150MG/12.5MG CP (GTM) 3X10'S,Export,2025.0,2331.79,929.0,5
ARBI-D TAB. 300/12.5MG CP (GTM) 1X2'S,Export,2025.0,0.0,0.0,2
ARBI-D TAB. 300/12.5MG CP (GTM) 30'S,Export,2025.0,0.0,0.0,1
ARBI-D TAB. 300/12.5MG CP (IQ) 30'S,Export,2024.0,0.0,0.0,4
ARBI-D TAB. 300/12.5MG CP 1X10'S,Pharma,2024.0,35330909.98,86289.0,923
ARBI-D TAB. 300/12.5MG CP 1X10'S,Pharma,2025.0,39224711.42,88521.0,1023
ARBI-D TAB. 300/25MG CP (IQ) 28'S,Export,2024.0,0.0,0.0,1
ARBI-D TAB. 300/25MG CP 2X7'S,Pharma,2024.0,7775723.67,12493.0,246
ARBI-D TAB. 300/25MG CP 2X7'S,Pharma,2025.0,7967297.220000001,11588.0,251
AVSAR PLUS 160/10/12.5MG CP (BDI) 4X7'S,Export,2024.0,0.0,0.0,1
AVSAR PLUS 160/5/12.5MG CP (BDI) 4X7'S,Export,2024.0,0.0,0.0,1
AVSAR PLUS TAB 160/10/12.5MG CP (GHN) 28,Export,2024.0,0.0,0.0,1
AVSAR PLUS TAB 160/5/12.5MG CP (GHN) 28S,Export,2024.0,1631.85,989.0,1
AVSAR PLUS TAB. 160/10/12.5MG CP (AFG),Export,2024.0,109031.87999999999,3658.0,10
AVSAR PLUS TAB. 160/10/12.5MG CP (AFG),Export,2025.0,0.0,0.0,6
AVSAR PLUS TAB. 160/10/12.5MG CP (KEN),Export,2025.0,22.11,311.0,3
AVSAR PLUS TAB. 160/10/12.5MG CP 4X7'S,Pharma,2024.0,122271295.96000001,357434.0,1869
AVSAR PLUS TAB. 160/10/12.5MG CP 4X7'S,Pharma,2025.0,173135730.74,446068.0,2036
AVSAR PLUS TAB. 160/10/12.5MG CP(ZM)28'S,Export,2025.0,0.0,158.0,2
AVSAR PLUS TAB. 160/10/25MG CP (AFG),Export,2024.0,124070.76,3201.0,6
AVSAR PLUS TAB. 160/10/25MG CP (AFG),Export,2025.0,87891.2,1984.0,2
AVSAR PLUS TAB. 160/10/25MG CP (GHN)28'S,Export,2024.0,0.0,0.0,1
AVSAR PLUS TAB. 160/10/25MG CP 4X7'S,Pharma,2024.0,37893415.29,111559.0,1226
AVSAR PLUS TAB. 160/10/25MG CP 4X7'S,Pharma,2025.0,49145487.89,129913.0,1407
AVSAR PLUS TAB. 160/5/12.5MG CP (AFG),Export,2024.0,88920.48000000001,2451.0,9
AVSAR PLUS TAB. 160/5/12.5MG CP (AFG),Export,2025.0,0.0,0.0,2
AVSAR PLUS TAB. 160/5/12.5MG CP (KEN),Export,2025.0,0.0,287.0,2
AVSAR PLUS TAB. 160/5/12.5MG CP 4X7'S,Pharma,2024.0,110987294.24,401022.0,1842
AVSAR PLUS TAB. 160/5/12.5MG CP 4X7'S,Pharma,2025.0,171494610.70999998,473735.0,2106
AVSAR PLUS TAB. 160/5/25MG CP (GHN) 28'S,Export,2024.0,1666.34,986.0,1
AVSAR PLUS TAB. 160/5/25MG CP 4X7'S,Pharma,2024.0,14393680.38,42618.0,678
AVSAR PLUS TAB. 160/5/25MG CP 4X7'S,Pharma,2025.0,18394911.119999997,50721.0,892
AVSAR PLUS TAB. 320/10/25MG CP (GTM) 2'S,Export,2024.0,0.0,0.0,1
AVSAR PLUS TAB. 320/10/25MG CP (GTM) 2'S,Export,2025.0,0.0,0.0,4
AVSAR PLUS TAB. 320/10/25MG CP (GTM) 28S,Export,2024.0,0.0,0.0,2
AVSAR PLUS TAB. 320/10/25MG CP (GTM) 28S,Export,2025.0,0.0,0.0,4
AVSAR PLUS TAB. 320/10/25MG CP 4X7'S,Pharma,2024.0,16377955.55,38505.0,742
AVSAR PLUS TAB. 320/10/25MG CP 4X7'S,Pharma,2025.0,22002746.01,49102.0,974
AVSAR TAB. 160/10MG (SWL) CP 4X7'S,Export,2024.0,9024.99,949.0,2
AVSAR TAB. 160/10MG (SWL) CP 4X7'S,Export,2025.0,0.0,239.0,4
AVSAR TAB. 160/10MG CP (AFG),Export,2024.0,0.0,0.0,8
AVSAR TAB. 160/10MG CP (AFG),Export,2025.0,232.56,6.0,13
AVSAR TAB. 160/10MG CP (GHN) 28'S,Export,2024.0,0.0,0.0,1
AVSAR TAB. 160/10MG CP (KEN),Export,2025.0,0.0,287.0,2
AVSAR TAB. 160/10MG CP (MDV) 14’S,Export,2025.0,570.0,825.0,2
AVSAR TAB. 160/10MG CP (NIG) 28'S,Export,2024.0,0.0,0.0,3
AVSAR TAB. 160/10MG CP (NIG) 28'S,Export,2025.0,0.0,0.0,6
AVSAR TAB. 160/10MG CP (PHL),Export,2025.0,0.0,0.0,1
AVSAR TAB. 160/10MG CP 2X7'S,Pharma,2024.0,181844325.28,466968.0,2036
AVSAR TAB. 160/10MG CP 2X7'S,Pharma,2025.0,253959386.0,531688.0,2230
AVSAR TAB. 160/5MG CP (AFG) 2X7'S,Export,2024.0,0.0,0.0,9
AVSAR TAB. 160/5MG CP (AFG) 2X7'S,Export,2025.0,0.0,0.0,6
AVSAR TAB. 160/5MG CP (CMB),Export,2025.0,0.0,0.0,1
AVSAR TAB. 160/5MG CP (GHN) 28'S,Export,2024.0,0.0,0.0,1
AVSAR TAB. 160/5MG CP (KEN),Export,2025.0,0.0,292.0,2
AVSAR TAB. 160/5MG CP (SLK) 4X7'S,Export,2024.0,0.0,0.0,1
AVSAR TAB. 160/5MG CP (SLK) 4X7'S,Export,2025.0,0.0,0.0,8
AVSAR TAB. 160/5MG CP (SWL) 28'S,Export,2024.0,0.0,0.0,1
AVSAR TAB. 160/5MG CP 2X7'S,Pharma,2024.0,141278657.09,439392.0,2040
AVSAR TAB. 160/5MG CP 2X7'S,Pharma,2025.0,214061367.64000002,542336.0,2356
AVSAR TAB. 160/5MG PS (SLK) 4'S,Export,2024.0,0.0,0.0,1
AVSAR TAB. 160/5MG PS (SLK) 4'S,Export,2025.0,0.0,0.0,3
AVSAR TAB. 80/5MG CP (AFG) 2X7'S,Export,2024.0,0.0,217.0,11
AVSAR TAB. 80/5MG CP (AFG) 2X7'S,Export,2025.0,0.0,0.0,7
AVSAR TAB. 80/5MG CP (CMB),Export,2024.0,0.0,0.0,1
AVSAR TAB. 80/5MG CP (CMB),Export,2025.0,0.0,0.0,1
AVSAR TAB. 80/5MG CP (PHL),Export,2024.0,0.0,0.0,1
AVSAR TAB. 80/5MG CP (PHL),Export,2025.0,0.0,0.0,1
AVSAR TAB. 80/5MG CP (SLK) 4X7'S,Export,2024.0,0.0,0.0,1
AVSAR TAB. 80/5MG CP (SLK) 4X7'S,Export,2025.0,5628.26,2609.0,8
AVSAR TAB. 80/5MG CP (SWL) 4X7'S,Export,2024.0,7371.0,975.0,3
AVSAR TAB. 80/5MG CP (SWL) 4X7'S,Export,2025.0,0.0,310.0,4
AVSAR TAB. 80/5MG CP 2X7'S,Pharma,2024.0,141844299.14,514646.0,2645
AVSAR TAB. 80/5MG CP 2X7'S,Pharma,2025.0,148144554.84,519773.0,2883
AVSAR TAB. 80/5MG INST. CP 7X152'S,Pharma,2024.0,0.0,187.97,1
AVSAR TAB. 80/5MG INST. CP 7X152'S,Pharma,2025.0,0.0,227.31,14
AVSAR TAB. 80/5MG PS (SLK) 4'S,Export,2024.0,0.0,0.0,1
AVSAR TAB. 80/5MG PS (SLK) 4'S,Export,2025.0,0.0,453.0,4
AXIFER INJ. 100MG/5ML CP 1X5'S,Pharma,2024.0,2223020.19,2471.0,48
AZOBACT SUSP. 200MG 15ML CP (AFG),Export,2024.0,0.0,0.0,4
AZOBACT TAB. 250MG CP (AFG) 2X6'S,Export,2024.0,16969.12,556.0,13
AZOBACT TAB. 250MG CP (AFG) 2X6'S,Export,2025.0,0.0,1077.0,15
AZOBACT TAB. 500MG CP (AFG) 1X6'S,Export,2024.0,24971.85,1621.0,11
AZOBACT TAB. 500MG CP (AFG) 1X6'S,Export,2025.0,31247.02,691.0,8
BANDRIO TAB. 150MG CP (GTM) 1X1'S,Export,2025.0,1678.5,1865.0,4
BEMPION EZ TAB. 180/10MG CP 1X10'S,Pharma,2025.0,4021544.25,10535.0,124
BEMPION TAB. 180MG CP 1X10'S,Pharma,2025.0,3659083.3,9890.0,110
BESTRIX INJ. 1000MG IV CP,Other,2024.0,0.0,0.0,25
BESTRIX INJ. 1000MG IV CP,Other,2025.0,0.0,0.0,23
BESTRIX INJ. 1000MG IV PS,Other,2024.0,0.0,0.0,5
BESTRIX INJ. 1000MG IV PS,Other,2025.0,0.0,0.0,5
BESTRIX INJ. 250MG IM CP,Other,2024.0,0.0,0.0,8
BESTRIX INJ. 250MG IM CP,Other,2025.0,0.0,0.0,13
BESTRIX INJ. 250MG IM PS,Other,2024.0,0.0,0.0,3
BESTRIX INJ. 250MG IM PS,Other,2025.0,0.0,0.0,2
BESTRIX INJ. 250MG IV CP,Other,2024.0,0.0,0.0,6
BESTRIX INJ. 250MG IV CP,Other,2025.0,0.0,0.0,7
BESTRIX INJ. 500MG IM CP,Other,2024.0,0.0,0.0,7
BESTRIX INJ. 500MG IM CP,Other,2025.0,0.0,0.0,12
BESTRIX INJ. 500MG IV CP,Other,2024.0,0.0,0.0,15
BESTRIX INJ. 500MG IV CP,Other,2025.0,0.0,0.0,20
BEVEC 100MG/4ML 1X1'S,Pharma,2024.0,0.0,657.0,102
BEVEC 100MG/4ML 1X1'S,Pharma,2025.0,0.0,1152.0,162
BEVEC 400MG/16ML 1X1'S,Pharma,2024.0,0.0,766.0,139
BEVEC 400MG/16ML 1X1'S,Pharma,2025.0,0.0,1450.0,216
BONGARD TAB. 70MG CP (KEN),Export,2024.0,1092.0,728.0,2
BONGARD TAB. 70MG CP (KEN),Export,2025.0,0.0,0.0,1
BONGARD TAB. 70MG CP (MDV),Export,2024.0,455.0,500.0,2
BONGARD TAB. 70MG CP (MMR),Export,2024.0,1267.8,1440.0,2
BONGARD TAB. 70MG CP (MMR),Export,2025.0,0.0,0.0,1
BONGARD TAB. 70MG CP (SLK),Export,2024.0,0.0,0.0,9
BONGARD TAB. 70MG CP (SLK),Export,2025.0,0.0,0.0,5
BONGARD TAB. 70MG PS (SLK),Export,2024.0,0.0,0.0,3
BONGARD TAB. 70MG PS (SLK),Export,2025.0,0.0,1805.0,3
BUSONIDE CAP. 200/6 MCG CP (AFG) 3X10'S,Export,2025.0,0.0,0.0,1
BUSONIDE CAP. 200/6 MCG CP 3X10'S,Pharma,2024.0,14613276.28,55505.0,769
BUSONIDE CAP. 200/6 MCG CP 3X10'S,Pharma,2025.0,16828769.31,66223.0,913
BUSONIDE CAP. 400/12 MCG CP (AFG) 30'S,Export,2025.0,0.0,0.0,1
BUSONIDE CAP. 400/12 MCG CP 3X10'S,Pharma,2024.0,77814691.68,270007.0,1829
BUSONIDE CAP. 400/12 MCG CP 3X10'S,Pharma,2025.0,109771276.35000001,315360.0,1818
BYVAS TAB 5MG CP (GTM) 1X2'S,Export,2024.0,0.0,0.0,3
BYVAS TAB 5MG CP (GTM) 1X2'S,Export,2025.0,0.0,0.0,6
BYVAS TAB 5MG CP (GTM) 4X7'S,Export,2024.0,2677.2,970.0,3
BYVAS TAB 5MG CP (GTM) 4X7'S,Export,2025.0,0.0,0.0,2
BYVAS TAB. 10MG CP 2X7'S,Pharma,2024.0,16078678.38,48148.0,663
BYVAS TAB. 10MG CP 2X7'S,Pharma,2025.0,19841851.95,55040.0,778
BYVAS TAB. 2.5MG CP (IQ) 4X7'S,Export,2024.0,0.0,0.0,2
BYVAS TAB. 2.5MG CP (IQ) 4X7'S,Export,2025.0,0.0,0.0,2
BYVAS TAB. 2.5MG CP 2X7'S,Pharma,2024.0,47917385.61,340665.0,1734
BYVAS TAB. 2.5MG CP 2X7'S,Pharma,2025.0,87899665.53,492859.0,2004
BYVAS TAB. 5MG CP (IQ) 4X7'S,Export,2024.0,0.0,0.0,6
BYVAS TAB. 5MG CP (IQ) 4X7'S,Export,2025.0,0.0,0.0,17
BYVAS TAB. 5MG CP 2X7'S,Pharma,2024.0,88432338.77,440026.0,2091
BYVAS TAB. 5MG CP 2X7'S,Pharma,2025.0,126628924.31,520043.0,2199
CEZOX CAP. 400MG CP,Other,2024.0,0.0,0.0,21
CEZOX CAP. 400MG CP,Other,2025.0,0.0,0.0,19
CEZOX CAP. 400MG PS,Other,2024.0,0.0,0.0,4
CEZOX CAP. 400MG PS,Other,2025.0,0.0,0.0,4
CEZOX DS SUSP. CP 30ML,Other,2024.0,0.0,0.0,12
CEZOX DS SUSP. CP 30ML,Other,2025.0,0.0,0.0,14
CEZOX DS SUSP. PS 15ML,Other,2024.0,0.0,0.0,8
CEZOX DS SUSP. PS 15ML,Other,2025.0,0.0,0.0,6
CEZOX SUSP. CP 30ML,Other,2024.0,0.0,0.0,27
CEZOX SUSP. CP 30ML,Other,2025.0,0.0,0.0,21
CEZOX SUSP. PS 15ML,Other,2024.0,0.0,0.0,10
CEZOX SUSP. PS 15ML,Other,2025.0,0.0,0.0,9
CIPROMAX TAB. 250MG CP (AFG),Export,2024.0,0.0,0.0,2
CIPROMAX TAB. 500MG CP (AFG),Export,2024.0,0.0,0.0,2
COLYSTYRENE SAC. 4G CP 1X25'S,Pharma,2025.0,0.0,2121.0,5
DAGIFLO TAB. 10MG CP (SLK) 2X7'S,Export,2024.0,0.0,0.0,5
DAGIFLO TAB. 10MG CP (SLK) 2X7'S,Export,2025.0,169.0,50.0,9
DAGIFLO TAB. 10MG PS (SLK) 4'S,Export,2024.0,0.0,0.0,2
DAGIFLO TAB. 10MG PS (SLK) 4'S,Export,2025.0,0.0,0.0,4
DAGIFLO TAB. 5MG CP (SLK) 2X7'S,Export,2024.0,0.0,23.0,7
DAGIFLO TAB. 5MG CP (SLK) 2X7'S,Export,2025.0,924.0,400.0,13
DAGIFLO TAB. 5MG PS (SLK) 4'S,Export,2024.0,0.0,0.0,3
DAGIFLO TAB. 5MG PS (SLK) 4'S,Export,2025.0,0.0,65.0,5
DAPWIZ PLUS XR TAB. 10/1000MG CP 2X7'S,Pharma,2024.0,5941455.88,17543.0,353
DAPWIZ PLUS XR TAB. 10/1000MG CP 2X7'S,Pharma,2025.0,7714459.36,19382.0,347
DAPWIZ PLUS XR TAB. 10/500MG CP 2X7'S,Pharma,2024.0,3797854.2600000002,11401.0,242
DAPWIZ PLUS XR TAB. 10/500MG CP 2X7'S,Pharma,2025.0,6683598.76,17977.0,377
DAPWIZ PLUS XR TAB. 5/1000MG CP 2X7'S,Pharma,2024.0,3209853.0999999996,10323.0,245
DAPWIZ PLUS XR TAB. 5/1000MG CP 2X7'S,Pharma,2025.0,3586701.86,11384.0,265
DAPWIZ PLUS XR TAB. 5/500MG CP 2X7'S,Pharma,2024.0,7110187.35,25458.0,379
DAPWIZ PLUS XR TAB. 5/500MG CP 2X7'S,Pharma,2025.0,11287492.190000001,34065.0,588
DAPWIZ TAB. 10MG CP (IQ) 2X14'S,Export,2024.0,912.6,1404.0,17
DAPWIZ TAB. 10MG CP (IQ) 2X14'S,Export,2025.0,0.0,0.0,2
DAPWIZ TAB. 10MG CP 1X10'S,Pharma,2024.0,46990251.25,204836.0,1231
DAPWIZ TAB. 10MG CP 1X10'S,Pharma,2025.0,57885122.37,213486.0,1323
DAPWIZ TAB. 10MG CP DGDP 1X10'S,Pharma,2024.0,368319.72,3161.0,17
DAPWIZ TAB. 10MG CP DGDP 1X10'S,Pharma,2025.0,1194167.3699999999,10396.0,54
DAPWIZ TAB. 5MG CP 1X10'S,Pharma,2024.0,17739662.39,109489.0,821
DAPWIZ TAB. 5MG CP 1X10'S,Pharma,2025.0,19076212.18,107203.0,834
DAPWIZ TAB. 5MG CP MSDS INST. 100X10'S,Pharma,2025.0,0.0,50.0,1
DEPLAT TAB. 75MG CP (KEN),Export,2024.0,0.0,0.0,1
DEPLAT TAB. 75MG CP (KEN),Export,2025.0,0.0,137.0,2
DIPOF CAP. 3/25MG CP 2X10'S,Pharma,2024.0,11555155.46,76937.0,761
DIPOF CAP. 3/25MG CP 2X10'S,Pharma,2025.0,15010834.74,87028.0,872
DIPOF CAP. 6/25MG CP 2X10'S,Pharma,2024.0,8645708.91,29644.0,476
