SDP Name,City,Yr,Revenue,Products,Invoices
NEW TAMEER ENTERPRISES,NEW TAMEER ENTERPRISES,2024.0,2185010.44,76,205
NEW TAMEER ENTERPRISES,NEW TAMEER ENTERPRISES,2025.0,1839472.9,30,42
NOOR ENTERPRISES LAHORE,NOOR ENTERPRISES LAHORE,2024.0,0.0,2,8
NOOR ENTERPRISES LAHORE,NOOR ENTERPRISES LAHORE,2025.0,0.0,3,37
NOOR MEDICINE COMPANY,NOOR MEDICINE COMPANY,2024.0,33018555.89,144,1367
NOOR MEDICINE COMPANY,NOOR MEDICINE COMPANY,2025.0,42249037.83,156,1520
NOVIPHARM ENTERPRISES,NOVIPHARM ENTERPRISES,2024.0,0.0,5,118
NOVIPHARM ENTERPRISES,NOVIPHARM ENTERPRISES,2025.0,0.0,6,235
NUSRAT PHARMA - KOTLI,Kotli,2024.0,77098868.44,194,1974
NUSRAT PHARMA - KOTLI,Kotli,2025.0,124074539.47,200,3082
ONCOCARE PHARMACY,ONCOCARE PHARMACY,2024.0,15321568.73,88,484
ONCOCARE PHARMACY,ONCOCARE PHARMACY,2025.0,16680455.64,85,478
ONCOLINK PHARMA DISTRIBUTORS,ONCOLINK PHARMA DISTRIBUTORS,2024.0,0.0,3,8
ONCOLINK PHARMA DISTRIBUTORS,ONCOLINK PHARMA DISTRIBUTORS,2025.0,0.0,3,29
ONE TIME BUYER,ONE TIME BUYER,2024.0,9043101.43,198,10415
ONE TIME BUYER,ONE TIME BUYER,2025.0,11181885.27,217,12473
ORAH LIFE (PVT) LTD.,ORAH LIFE (PVT) LTD.,2024.0,3576101.38,203,621
ORAH LIFE (PVT) LTD.,ORAH LIFE (PVT) LTD.,2025.0,286054.26,83,86
OTSUKA PAKISTAN LTD,OTSUKA PAKISTAN LTD,2025.0,0.0,1,2
P.E.S.S.I LAHORE,P.E.S.S.I LAHORE,2024.0,1587624.24,15,30
P.E.S.S.I LAHORE,P.E.S.S.I LAHORE,2025.0,468000.75,8,16
PAKISTAN MEDICAL SUPPLY CORP,PAKISTAN MEDICAL SUPPLY CORP,2024.0,0.0,5,28
PAKISTAN MEDICAL SUPPLY CORP,PAKISTAN MEDICAL SUPPLY CORP,2025.0,0.0,4,49
PAKISTAN VACCINE HOUSE,PAKISTAN VACCINE HOUSE,2024.0,104476.79999999999,18,154
PAKISTAN VACCINE HOUSE,PAKISTAN VACCINE HOUSE,2025.0,0.0,12,219
PATIENT'S CARE,PATIENT'S CARE,2024.0,0.0,3,19
PATIENT'S CARE,PATIENT'S CARE,2025.0,0.0,2,13
PHARMA CURE INTERNATIONAL,PHARMA CURE INTERNATIONAL,2025.0,363673.48,27,56
PHARMA SOLUTION,PHARMA SOLUTION,2025.0,5752325.05,76,524
PHARMATEC PAKISTAN (PVT) LTD.,PHARMATEC PAKISTAN (PVT) LTD.,2024.0,0.0,1,1
PHARMATEC PAKISTAN (PVT) LTD.,PHARMATEC PAKISTAN (PVT) LTD.,2025.0,0.0,1,1
PHARMEVO (PVT) LTD,PHARMEVO (PVT) LTD,2025.0,0.0,1,1
PREMIER AGENCIES - KORANGI,Karachi,2025.0,4568549.67,213,413
PREMIER SALES PVT LTD-ABBOTTABAD,Abbottabad,2024.0,102567234.08,206,2513
PREMIER SALES PVT LTD-ABBOTTABAD,Abbottabad,2025.0,130072457.58,202,2780
PREMIER SALES PVT LTD-ATTOCK,Attock,2024.0,69013079.96,184,2249
PREMIER SALES PVT LTD-ATTOCK,Attock,2025.0,93361533.85,191,2448
PREMIER SALES PVT LTD-BADIN,Badin,2024.0,22333771.16,151,995
PREMIER SALES PVT LTD-BADIN,Badin,2025.0,33363569.71,152,1149
PREMIER SALES PVT LTD-BAHAWALNAGAR,Bahawalnagar,2024.0,66733531.31,196,2083
PREMIER SALES PVT LTD-BAHAWALNAGAR,Bahawalnagar,2025.0,87407780.01,190,2188
PREMIER SALES PVT LTD-BAHAWALPUR,Bahawalpur,2024.0,99730230.41,208,2547
PREMIER SALES PVT LTD-BAHAWALPUR,Bahawalpur,2025.0,142478461.35,203,2722
PREMIER SALES PVT LTD-BANNU,Bannu,2024.0,141654896.15,196,2793
PREMIER SALES PVT LTD-BANNU,Bannu,2025.0,197489173.87,200,3168
PREMIER SALES PVT LTD-BUREWALA,Burewala,2025.0,65939769.15,203,1523
PREMIER SALES PVT LTD-CHAKWAL,Chakwal,2024.0,66486672.63,193,2133
PREMIER SALES PVT LTD-CHAKWAL,Chakwal,2025.0,87851618.27,195,2370
PREMIER SALES PVT LTD-D.G.KHAN,D.G.Khan,2024.0,119935518.65,205,2729
PREMIER SALES PVT LTD-D.G.KHAN,D.G.Khan,2025.0,148922283.4,204,2901
PREMIER SALES PVT LTD-D.I.KHAN,D.I.Khan,2024.0,94709800.4,183,2190
PREMIER SALES PVT LTD-D.I.KHAN,D.I.Khan,2025.0,118268459.83,179,2390
PREMIER SALES PVT LTD-DADU,Dadu,2024.0,57348383.6,176,1688
PREMIER SALES PVT LTD-DADU,Dadu,2025.0,84048303.61,177,1924
PREMIER SALES PVT LTD-FAISALABAD,Faisalabad,2024.0,200866728.7,214,3445
PREMIER SALES PVT LTD-FAISALABAD,Faisalabad,2025.0,240579346.34,212,3714
PREMIER SALES PVT LTD-FATEH GARH-LH,Lh,2024.0,128815790.57000001,202,2773
PREMIER SALES PVT LTD-FATEH GARH-LH,Lh,2025.0,171897006.52,204,3073
PREMIER SALES PVT LTD-FB AREA,Fb,2024.0,216556982.44,219,3803
PREMIER SALES PVT LTD-FB AREA,Fb,2025.0,280784759.32,221,4184
PREMIER SALES PVT LTD-GHOTKI,Ghotki,2024.0,57100671.59,174,1748
PREMIER SALES PVT LTD-GHOTKI,Ghotki,2025.0,88111108.47,187,2027
PREMIER SALES PVT LTD-GILGIT,Gilgit,2024.0,33712923.13,124,1115
PREMIER SALES PVT LTD-GILGIT,Gilgit,2025.0,44090701.27,127,1266
PREMIER SALES PVT LTD-GUJJAR KHAN,Gujjar Khan,2024.0,52415118.37,193,1826
PREMIER SALES PVT LTD-GUJJAR KHAN,Gujjar Khan,2025.0,66131434.31,190,1987
PREMIER SALES PVT LTD-GUJRANWALA,Gujranwala,2024.0,128284148.59,199,2817
PREMIER SALES PVT LTD-GUJRANWALA,Gujranwala,2025.0,152137723.41,196,3014
PREMIER SALES PVT LTD-GUJRAT,Gujrat,2024.0,97780239.57000001,197,2573
PREMIER SALES PVT LTD-GUJRAT,Gujrat,2025.0,96427454.54,185,2319
PREMIER SALES PVT LTD-GWADAR,Gwadar,2024.0,9095197.14,48,411
PREMIER SALES PVT LTD-GWADAR,Gwadar,2025.0,12770268.27,43,370
PREMIER SALES PVT LTD-HAFIZABAD,Hafizabad,2024.0,35397393.47,155,1365
PREMIER SALES PVT LTD-HAFIZABAD,Hafizabad,2025.0,49641036.02,164,1544
PREMIER SALES PVT LTD-HARIPUR,Haripur,2024.0,74251981.78,200,2123
PREMIER SALES PVT LTD-HARIPUR,Haripur,2025.0,95391249.82000001,201,2372
PREMIER SALES PVT LTD-HASSAN ABDAL,Hassan Abdal,2024.0,91473974.53,196,2415
PREMIER SALES PVT LTD-HASSAN ABDAL,Hassan Abdal,2025.0,129696809.08,201,2667
PREMIER SALES PVT LTD-HYDERABAD,Hyderabad,2024.0,151022522.59,206,3165
PREMIER SALES PVT LTD-HYDERABAD,Hyderabad,2025.0,192298967.15,205,3497
PREMIER SALES PVT LTD-ISLAMABAD,Islamabad,2024.0,183682117.34,219,3318
PREMIER SALES PVT LTD-ISLAMABAD,Islamabad,2025.0,232006950.0,220,3659
PREMIER SALES PVT LTD-JACOBABAD,Jacobabad,2024.0,65325947.9,181,1870
PREMIER SALES PVT LTD-JACOBABAD,Jacobabad,2025.0,96547527.89,183,2187
PREMIER SALES PVT LTD-JHANG,Jhang,2024.0,131607055.71000001,203,2927
PREMIER SALES PVT LTD-JHANG,Jhang,2025.0,173465601.98,196,3146
PREMIER SALES PVT LTD-JHELUM,Jhelum,2024.0,109951145.73,195,2642
PREMIER SALES PVT LTD-JHELUM,Jhelum,2025.0,146114498.66,201,2971
PREMIER SALES PVT LTD-KASUR,Kasur,2024.0,60825665.22,187,1969
PREMIER SALES PVT LTD-KASUR,Kasur,2025.0,85754679.6,195,2177
PREMIER SALES PVT LTD-KHANEWAL,Khanewal,2024.0,67784919.03,193,2255
PREMIER SALES PVT LTD-KHANEWAL,Khanewal,2025.0,95110219.24,194,2413
PREMIER SALES PVT LTD-KHARIAN,Kharian,2025.0,59592109.3,195,1635
PREMIER SALES PVT LTD-KOHAT,Kohat,2024.0,130106983.5,204,2825
PREMIER SALES PVT LTD-KOHAT,Kohat,2025.0,178022343.59,204,3308
PREMIER SALES PVT LTD-KORANGI,Karachi,2024.0,237100823.32,227,3899
PREMIER SALES PVT LTD-KORANGI,Karachi,2025.0,293688459.18,225,4494
PREMIER SALES PVT LTD-LAHORE,Lahore,2024.0,285174438.97,221,4285
PREMIER SALES PVT LTD-LAHORE,Lahore,2025.0,348541279.43,221,4620
PREMIER SALES PVT LTD-LARKANA,Larkana,2024.0,87942752.2,195,2412
PREMIER SALES PVT LTD-LARKANA,Larkana,2025.0,127183918.61,191,2564
PREMIER SALES PVT LTD-LAYYAH,Layyah,2024.0,42364964.93,194,1206
PREMIER SALES PVT LTD-LAYYAH,Layyah,2025.0,128297363.32,188,2643
PREMIER SALES PVT LTD-MANDI BAHAUDI,Mandi Bahaudi,2024.0,46515579.1,181,1671
PREMIER SALES PVT LTD-MANDI BAHAUDI,Mandi Bahaudi,2025.0,65739061.44,175,1823
PREMIER SALES PVT LTD-MANSEHRA,Mansehra,2024.0,98806705.37,195,2421
PREMIER SALES PVT LTD-MANSEHRA,Mansehra,2025.0,128443735.05,192,2636
PREMIER SALES PVT LTD-MARDAN,Mardan,2024.0,161568678.08,191,3028
PREMIER SALES PVT LTD-MARDAN,Mardan,2025.0,218894564.5,197,3361
PREMIER SALES PVT LTD-MIRPURKHAS,Mirpurkhas,2024.0,69320085.35,188,2053
PREMIER SALES PVT LTD-MIRPURKHAS,Mirpurkhas,2025.0,94244660.3,179,2204
PREMIER SALES PVT LTD-MITHI,Mithi,2025.0,25748169.5,160,736
PREMIER SALES PVT LTD-MULTAN,Multan,2024.0,184168178.3,215,3442
PREMIER SALES PVT LTD-MULTAN,Multan,2025.0,230976764.68,212,3749
PREMIER SALES PVT LTD-MUZAFFARABAD,Muzaffarabad,2024.0,94660253.6,196,2332
PREMIER SALES PVT LTD-MUZAFFARABAD,Muzaffarabad,2025.0,107130989.85,188,2243
PREMIER SALES PVT LTD-NAROWAL,Narowal,2024.0,35706480.22,151,1298
PREMIER SALES PVT LTD-NAROWAL,Narowal,2025.0,49222330.78,148,1438
PREMIER SALES PVT LTD-NAUSHERO FERO,Naushero Fero,2024.0,37646125.18,156,1196
PREMIER SALES PVT LTD-NAUSHERO FERO,Naushero Fero,2025.0,52104913.36,158,1418
PREMIER SALES PVT LTD-NAWABSHAH,Nawabshah,2024.0,97359879.33,197,2404
PREMIER SALES PVT LTD-NAWABSHAH,Nawabshah,2025.0,122133677.35,191,2668
PREMIER SALES PVT LTD-NOWSHERA,Nowshera,2025.0,81836138.27,208,1981
PREMIER SALES PVT LTD-PESHAWAR,Peshawar,2024.0,276616440.48,213,4229
PREMIER SALES PVT LTD-PESHAWAR,Peshawar,2025.0,330668954.1,216,4313
PREMIER SALES PVT LTD-QUETTA,Quetta,2024.0,175293595.14000002,214,3252
PREMIER SALES PVT LTD-QUETTA,Quetta,2025.0,220209481.85,203,3402
PREMIER SALES PVT LTD-R.Y.KHAN,R.Y.Khan,2024.0,110007523.68,207,2691
PREMIER SALES PVT LTD-R.Y.KHAN,R.Y.Khan,2025.0,157203958.16,201,3064
PREMIER SALES PVT LTD-RAWALPINDI,Rawalpindi,2024.0,241715615.75,220,3872
PREMIER SALES PVT LTD-RAWALPINDI,Rawalpindi,2025.0,298569397.96,219,3892
PREMIER SALES PVT LTD-S.I.T.E AREA,Karachi,2024.0,148328705.03,201,3157
PREMIER SALES PVT LTD-S.I.T.E AREA,Karachi,2025.0,186714332.39,204,3446
PREMIER SALES PVT LTD-SAHIWAL,Sahiwal,2024.0,120231825.48,205,2829
PREMIER SALES PVT LTD-SAHIWAL,Sahiwal,2025.0,149757106.59,205,3059
PREMIER SALES PVT LTD-SARGODHA,Sargodha,2024.0,142259902.03,207,3000
PREMIER SALES PVT LTD-SARGODHA,Sargodha,2025.0,184887682.77,204,3370
PREMIER SALES PVT LTD-SHAHDADPUR,Shahdadpur,2024.0,34828694.16,169,1244
PREMIER SALES PVT LTD-SHAHDADPUR,Shahdadpur,2025.0,51369665.81,170,1421
PREMIER SALES PVT LTD-SHAKARGARH,Shakargarh,2025.0,3503859.45,119,119
PREMIER SALES PVT LTD-SHEIKHUPURA,Sheikhupura,2024.0,98251678.56,190,2378
PREMIER SALES PVT LTD-SHEIKHUPURA,Sheikhupura,2025.0,127102394.38,199,2747
PREMIER SALES PVT LTD-SHORKOT,Shorkot,2025.0,4516061.12,115,116
PREMIER SALES PVT LTD-SIALKOT,Sialkot,2024.0,138600541.48,194,2844
PREMIER SALES PVT LTD-SIALKOT,Sialkot,2025.0,171591114.18,194,3014
PREMIER SALES PVT LTD-SUKKUR,Sukkur,2024.0,110717278.44,196,2644
PREMIER SALES PVT LTD-SUKKUR,Sukkur,2025.0,143853069.29,199,2786
PREMIER SALES PVT LTD-SWABI,Swabi,2024.0,96261566.65,185,2290
PREMIER SALES PVT LTD-SWABI,Swabi,2025.0,136645757.76,181,2536
PREMIER SALES PVT LTD-SWAT,Swat,2024.0,222468105.74,210,3538
PREMIER SALES PVT LTD-SWAT,Swat,2025.0,291609694.02,204,4051
PREMIER SALES PVT LTD-THATTA,Thatta,2024.0,26681219.81,159,1145
PREMIER SALES PVT LTD-THATTA,Thatta,2025.0,36637128.31,173,1336
PREMIER SALES PVT LTD-TIMERGARA,Timergara,2024.0,146754637.78,199,2881
PREMIER SALES PVT LTD-TIMERGARA,Timergara,2025.0,175223800.18,199,3007
PREMIER SALES PVT LTD-UMERKOT,Umerkot,2024.0,54775006.93,161,1645
PREMIER SALES PVT LTD-UMERKOT,Umerkot,2025.0,60413672.71,172,1552
PRIME PHARMA COMPANY,PRIME PHARMA COMPANY,2024.0,12374.869999999999,42,136
PRIME PHARMA COMPANY,PRIME PHARMA COMPANY,2025.0,904.5,15,28
PRIX PHARMA SH.P.K,PRIX PHARMA SH.P.K,2024.0,19935.0,3,3
PULSE CARE TRADERS,PULSE CARE TRADERS,2024.0,99992348.06,196,3219
PULSE CARE TRADERS,PULSE CARE TRADERS,2025.0,49168926.87,183,1390
PUNJAB INSTITUTE OF CARDIOLOGY,PUNJAB INSTITUTE OF CARDIOLOGY,2024.0,0.0,2,14
PUNJAB INSTITUTE OF CARDIOLOGY,PUNJAB INSTITUTE OF CARDIOLOGY,2025.0,0.0,2,47
PUNJAB UNIVERSITY,PUNJAB UNIVERSITY,2024.0,1967605.39,38,45
PUNJAB UNIVERSITY,PUNJAB UNIVERSITY,2025.0,5134101.99,58,102
Peshawar Institute of Cardiology,Peshawar Institute of Cardiology,2024.0,737264.8,9,19
Peshawar Institute of Cardiology,Peshawar Institute of Cardiology,2025.0,385160.0,7,10
Q-MED PHARMA DIST. - RAWALPINDI,Rawalpindi,2025.0,0.0,2,9
Q-PHARMA,Pharma,2024.0,3180.5,20,39
RATANAK PHARMA CO. LTD,RATANAK PHARMA CO. LTD,2024.0,0.0,7,7
RAWALPINDI INSTITUTE OF CARDIOLOGY,RAWALPINDI INSTITUTE OF CARDIOLOGY,2024.0,0.0,5,14
RAWALPINDI INSTITUTE OF CARDIOLOGY,RAWALPINDI INSTITUTE OF CARDIOLOGY,2025.0,1025678.3999999999,11,24
REHMAN BROTHERS,REHMAN BROTHERS,2024.0,12196.25,5,5
REHMAN BROTHERS,REHMAN BROTHERS,2025.0,475375.8,11,17
REHMAN TRADING COMPANY,REHMAN TRADING COMPANY,2024.0,14637216.05,74,434
REHMAN TRADING COMPANY,REHMAN TRADING COMPANY,2025.0,13976782.69,89,397
REMEDIAL ENTERPRISES,REMEDIAL ENTERPRISES,2024.0,3400157.45,91,374
REMEDIAL ENTERPRISES,REMEDIAL ENTERPRISES,2025.0,1731048.83,24,208
RGS INNOVATIVE HEALTH SCIENCES,RGS INNOVATIVE HEALTH SCIENCES,2025.0,0.0,2,6
RIZWAN MEDICINE COMPANY,RIZWAN MEDICINE COMPANY,2024.0,707527.51,35,132
RIZWAN MEDICINE COMPANY,RIZWAN MEDICINE COMPANY,2025.0,0.0,6,138
RUYA AL-SIHIYA COMPANY,Sihiya Company,2025.0,0.0,26,116
S&T CORPORATION,S&T CORPORATION,2024.0,875912.0,14,35
S&T CORPORATION,S&T CORPORATION,2025.0,1127689.34,35,72
S.K. DISTRIBUTOR - ISLAMABAD,Islamabad,2024.0,44418.6,15,41
S.K. DISTRIBUTOR - ISLAMABAD,Islamabad,2025.0,0.0,14,69
S.K. DISTRIBUTOR-ISLAMABAD INST DIS,Islamabad Inst Dis,2024.0,1115856.6,26,28
S.K. DISTRIBUTOR-ISLAMABAD INST DIS,Islamabad Inst Dis,2025.0,12185673.53,108,496
SAHEL PROMO SARL,SAHEL PROMO SARL,2024.0,4871.4,1,1
SAMI PHARMACEUTICAL (PVT) LTD.,SAMI PHARMACEUTICAL (PVT) LTD.,2024.0,0.0,3,7
SAMI PHARMACEUTICAL (PVT) LTD.,SAMI PHARMACEUTICAL (PVT) LTD.,2025.0,0.0,10,71
SAP HEALTH LIMITED COMPANY,SAP HEALTH LIMITED COMPANY,2024.0,3298.1899999999996,10,10
SCILIFE PHARMA (PVT.) LTD,SCILIFE PHARMA (PVT.) LTD,2024.0,0.0,4,42
SCILIFE PHARMA (PVT.) LTD,SCILIFE PHARMA (PVT.) LTD,2025.0,0.0,4,12
SCITECH HEALTH (PVT) LTD.(QnE),SCITECH HEALTH (PVT) LTD.(QnE),2024.0,4590894.27,134,373
SIRAJUDDIN & SONS - QUETTA,Quetta,2025.0,0.0,1,2
SITECH PHARMACEUTICALS (PVT.) LTD.,SITECH PHARMACEUTICALS (PVT.) LTD.,2024.0,1466964.0,24,95
SITECH PHARMACEUTICALS (PVT.) LTD.,SITECH PHARMACEUTICALS (PVT.) LTD.,2025.0,1343531.0,23,197
SKY HEALTHCARE LTD,SKY HEALTHCARE LTD,2024.0,781.6,8,19
SKY HEALTHCARE LTD,SKY HEALTHCARE LTD,2025.0,770.0,14,65
SN INTERNATIONAL,SN INTERNATIONAL,2024.0,5620.0,11,11
SN INTERNATIONAL,SN INTERNATIONAL,2025.0,22877.25,8,38
SOMH FF KARACHI,SOMH FF KARACHI,2025.0,577500.0,10,11
SPECTRUM MEDICAL SUPPLIES,SPECTRUM MEDICAL SUPPLIES,2024.0,47082133.82,136,2558
SPECTRUM MEDICAL SUPPLIES,SPECTRUM MEDICAL SUPPLIES,2025.0,57527383.92,145,2908
STATE PHARMACEUTICALS CORPORATION,STATE PHARMACEUTICALS CORPORATION,2024.0,0.0,2,18
STATE PHARMACEUTICALS CORPORATION,STATE PHARMACEUTICALS CORPORATION,2025.0,0.0,4,16
SULTAN SUPPLIES SERVICES,SULTAN SUPPLIES SERVICES,2024.0,60327057.43,175,1447
SURGI PLUS - HYDERABAD,Hyderabad,2024.0,0.0,15,51
SURGI PLUS - HYDERABAD,Hyderabad,2025.0,8717.8,14,89
Services Gen. Hosp. Lahore,Services Gen. Hosp. Lahore,2025.0,0.0,1,1
Syed Abdullah Shah Institute Sehwan,Syed Abdullah Shah Institute Sehwan,2025.0,0.0,2,8
TABBA HEART INST. C/O M.ABDULLAH EN,TABBA HEART INST. C/O M.ABDULLAH EN,2024.0,299096.05,3,24
TALHA TRADERS,TALHA TRADERS,2024.0,28691303.15,119,1030
TALHA TRADERS,TALHA TRADERS,2025.0,30298834.12,129,1246
TANVEER ENTERPRISES,TANVEER ENTERPRISES,2024.0,424714.4,6,14
TANVEER ENTERPRISES,TANVEER ENTERPRISES,2025.0,685554.1900000001,13,42
TAURUS MEDICAL COMPANY,TAURUS MEDICAL COMPANY,2024.0,13458012.01,129,635
TAURUS MEDICAL COMPANY,TAURUS MEDICAL COMPANY,2025.0,23320842.31,146,1266
TFMF PHARMA DISTRIBUTOR,TFMF PHARMA DISTRIBUTOR,2024.0,5173146.64,75,255
TFMF PHARMA DISTRIBUTOR,TFMF PHARMA DISTRIBUTOR,2025.0,430884.98000000004,44,59
THREE M ENTERPRISES LAHORE,THREE M ENTERPRISES LAHORE,2024.0,0.0,3,12
"The Children's Hospital, Lahore","The Children's Hospital, Lahore",2025.0,247500.0,1,1
WD PHARMA,WD PHARMA,2024.0,13311071.0,81,578
WD PHARMA,WD PHARMA,2025.0,21491561.86,94,895
WEME,WEME,2024.0,0.0,1,1
WESTGATE PHARMACEUTICALS,WESTGATE PHARMACEUTICALS,2025.0,0.0,2,4
Wazirabad institute of Cardiology,Wazirabad institute of Cardiology,2025.0,0.0,1,3
YASMINA PHARMA SARL,YASMINA PHARMA SARL,2025.0,5000.0,3,4
ZAIDI TRADERS,ZAIDI TRADERS,2025.0,0.0,3,44
ZESH LIFE SCIENCE CO. LTD.,ZESH LIFE SCIENCE CO. LTD.,2025.0,0.0,11,19
